Java HotSpot(TM) 64-Bit Server VM (25.60-b23) for bsd-amd64 JRE (1.8.0_60-b27), built on Aug  4 2015 10:47:24 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1230656k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2017-08-27T19:38:10.338-0100: 63.859: [GC (Allocation Failure) [PSYoungGen: 528800K->149920K(528384K)] 1564066K->1282906K(1926656K), 0.1098215 secs] [Times: user=0.86 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:11.157-0100: 64.678: [GC (Allocation Failure) [PSYoungGen: 528288K->153600K(537088K)] 1661274K->1383738K(1935360K), 0.1125412 secs] [Times: user=0.88 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:12.057-0100: 65.578: [GC (Allocation Failure) [PSYoungGen: 530944K->147040K(538112K)] 1761082K->1467890K(1936384K), 0.1124093 secs] [Times: user=0.79 sys=0.04, real=0.11 secs] 
2017-08-27T19:38:12.169-0100: 65.690: [Full GC (Ergonomics) [PSYoungGen: 147040K->0K(538112K)] [ParOldGen: 1320850K->274758K(1398272K)] 1467890K->274758K(1936384K), [Metaspace: 22416K->22416K(1069056K)], 0.4358942 secs] [Times: user=3.25 sys=0.01, real=0.44 secs] 
2017-08-27T19:38:13.311-0100: 66.832: [GC (Allocation Failure) [PSYoungGen: 377344K->150368K(538112K)] 652102K->425126K(1936384K), 0.0737846 secs] [Times: user=0.55 sys=0.00, real=0.07 secs] 
2017-08-27T19:38:14.109-0100: 67.630: [GC (Allocation Failure) [PSYoungGen: 528736K->152704K(538112K)] 803494K->525046K(1936384K), 0.1109567 secs] [Times: user=0.86 sys=0.00, real=0.12 secs] 
2017-08-27T19:38:14.962-0100: 68.483: [GC (Allocation Failure) [PSYoungGen: 531072K->149504K(537600K)] 903414K->611702K(1935872K), 0.1052384 secs] [Times: user=0.81 sys=0.00, real=0.10 secs] 
2017-08-27T19:38:15.799-0100: 69.320: [GC (Allocation Failure) [PSYoungGen: 528384K->151360K(538112K)] 990582K->704196K(1936384K), 0.1072440 secs] [Times: user=0.83 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:16.647-0100: 70.168: [GC (Allocation Failure) [PSYoungGen: 530240K->151968K(539648K)] 1083076K->803396K(1937920K), 0.1111918 secs] [Times: user=0.86 sys=0.00, real=0.11 secs] 
2017-08-27T19:38:17.509-0100: 71.030: [GC (Allocation Failure) [PSYoungGen: 532384K->152576K(539648K)] 1183812K->899180K(1937920K), 0.1084117 secs] [Times: user=0.86 sys=0.00, real=0.11 secs] 
